Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.638761153937852,0.826385517839884,1.32022811373637,0,0,0,0.201061929829747,0.000323374603809509,-3.09432309375888E-19,-3.47283508374262E-20,0.000643398175455189,1.06382106690128E-18,0.000323374603809509,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,,Part13^Assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.00893053095799878,-0.0501964237022623,-0.000267555465881641,0,0,0,0.256765494419994,0.00037997097567768,7.69676163119527E-05,7.23177242972422E-07,0.000377544614662834,-1.32193832728184E-06,0.000329283641030161,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_1.STL,,joint 1 - simplified.step-1,Origin_Joint_13,Axis1,Joint_1,revolute,0.63876,-1.3252,0.81339,-1.5708,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
Link_2,0.0650000226690579,0.0101094971645137,-1.4013695281978E-07,0,0,0,0.13081346914469,3.19933477457962E-05,-1.6396538110455E-11,3.69281468597153E-11,0.000339337197206023,2.35582270089133E-10,0.000316470986061007,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_2.STL,,joint 2.step-1,Origin_Joint_23,Axis2,Joint_2,fixed,0.003,-0.068,0.13,1.5708,1.5708,0,Link_1,0,0,1,0,0,0,0,,,,,,,,
Link_3,0.0273712683102569,-1.28257179493607E-05,-0.0546040464940397,0,0,0,0.17924252226062,0.000431735729782239,-7.91912037492595E-08,-7.53992425534326E-08,0.000432319012881455,2.14121234423733E-07,9.23438538779844E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_3.STL,,Joint 3.step-1/eBom-FreeParts.step-1,Origin_Joint_33,Axis3,Joint_3,fixed,0,-0.003,0,0,0,-1.5708,Link_2,0,0,1,0,0,0,0,,,,,,,,
Link_4,-0.0197285071096571,-0.00504137959761752,-0.0135890586703264,0,0,0,0.0340947397477872,2.78616725279663E-05,-2.34226081006018E-06,4.61088384137753E-06,4.84174561974048E-05,3.2221287261766E-06,2.62153451954587E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_4.STL,,Gripper Assembly.step-2/gear1.step-1,Origin_Link_43,Axis4,Link_4,fixed,0.0037669,-0.01531,-0.17117,0,0.53715,-3.1416,Link_3,0,1,0,0,0,0,0,,,,,,,,
