Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.59467,0.81201,1.311,0,0,0,0.20106,0.00032337,-3.0943E-19,-3.4728E-20,0.0006434,1.0638E-18,0.00032337,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,,Part13^Assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Joint_1,0.013931,0.032196,0.00026755,0,0,0,0.25173,0.00037252,-7.5458E-05,-7.0899E-07,0.00037014,-1.296E-06,0.00032283,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_1.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_1.STL,,joint 1 - simplified.step-1,Origin_Joint_1,Axis_Joint_1,Joint_1,revolute,0.59467,-1.311,0.81701,1.5708,0,-0.73072,base_link,0,1,0,0,0,0,0,,,,,,,,
Joint_2,-0.065,0.0021095,-1.5105E-07,0,0,0,0.12825,3.1366E-05,-1.199E-11,3.2943E-11,0.00033268,2.323E-10,0.00031027,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_2.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_2.STL,,joint 2.step-1,Origin_Joint_22,Axis_Joint_22,Joint_2,revolute,0,0.05,0,3.1416,-0.22804,-1.5708,Joint_1,0,1,0,0,0,0,0,,,,,,,,
Joint_3,0.038371,-1.2821E-05,-0.054604,0,0,0,0.17573,0.00042327,-7.7642E-08,-7.3921E-08,0.00042384,2.0994E-07,9.0533E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_3.STL,,Joint 3.step-1/eBom-FreeParts.step-1,Origin_Joint_32,Axis_Joint_32,Joint_3,revolute,-0.13,0,0,-1.5338,0,-1.5708,Joint_2,1,0,0,0,0,0,0,,,,,,,,
Wrist_Joint,0.0599348461098309,0.0981898770300264,-0.163045826672887,0,0,0,0.0334262148386834,2.73150433272108E-05,-2.2965206080393E-06,4.52370431674856E-06,4.74846109616715E-05,3.15894482005253E-06,2.57181983869544E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Wrist_Joint.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Wrist_Joint.STL,,Gripper Assembly.step-2/gear1.step-1,Origin_Wrist_Joint2,Axis_Wrist_Joint2,Wrist_Joint,revolute,-0.057807,0,0,0,0.53715,-1.9725,Joint_3,0.33591,-0.9204,0.20005,0,0,0,0,,,,,,,,
Gripper_Mechanism,0.0599348461098308,0.0981898770300262,-0.163045826672887,0,0,0,0.0334262148386834,2.73150433272108E-05,-2.2965206080393E-06,4.52370431674856E-06,4.74846109616715E-05,3.15894482005253E-06,2.57181983869544E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Gripper_Mechanism.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Gripper_Mechanism.STL,,Gripper Assembly.step-2/gear1.step-1,Origin_Gripper_Mechanism2,Axis_Gripper_Mechanism2,Gripper_Mechanism,revolute,0,0,0,0,0,0,Wrist_Joint,0.33591,-0.9204,0.20005,0,0,0,0,,,,,,,,
