Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.593815420646421,0.813424542982887,1.30712189168918,0,0,0,0.201061929829747,0.000323374603809509,-3.0873692214691E-19,-2.10346515234818E-20,0.000643398175455189,1.04203922622283E-18,0.000323374603809509,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,,Part13^Assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Joint_1,0.00893053095799845,0.0501964237022623,0.00026755546588153,0,0,0,0.251730876882344,0.000372520564389882,-7.54584473646596E-05,-7.0899729703138E-07,0.000370141779081208,-1.29601796792354E-06,0.000322827099049175,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_1.STL,,joint 1 - simplified.step-1,Origin_Joint 1,,Joint 1,revolute,0.59882,-1.3071,0.80042,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
Joint_2,-0.065,0.0031095,-1.4014E-07,0,0,0,0.12825,3.1366E-05,-1.6075E-11,3.6204E-11,0.00033268,2.3096E-10,0.00031027,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_2.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_2.STL,,joint 2.step-1,Origin_Joint_2,Axis_Joint_2,Joint_2,revolute,0,0.068,0,3.1416,-0.26472,-1.5708,Joint_1,0,1,0,0,0,0,0,,,,,,,,
Joint_3,0.0273712938846297,-1.2826417259193E-05,-0.0546040513755285,0,0,0,0.175727921697481,0.000423270295329232,-7.76365049035556E-08,-7.39253375607935E-08,0.000423842130806631,2.09944897993995E-07,9.05331817948336E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Joint_3.STL,,Joint 3.step-1/eBom-FreeParts.step-1,Origin_Joint_3,Axis_Joint_3,Joint_3,revolute,-0.13,-0.01,0,-1.4971,0,-1.5708,Joint_2,1,0,0,0,0,0,0,,,,,,,,
Wrist_Joint,0.107672157185758,0.0552542206534867,-0.134615918696407,0,0,0,0.0334262106539327,2.73148228084608E-05,-2.29652881714632E-06,4.52386831474427E-06,4.74842248553013E-05,3.15894232080281E-06,2.5718033026556E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Wrist_Joint.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Wrist_Joint.STL,,Gripper Assembly.step-2/gear1.step-1,Origin_Wrist_Joint,Axis_Wrist_Joint,Wrist_Joint,revolute,-0.024084,0,0,0,0.53715,-1.2538,Joint_3,0.2678,0.95018,0.15949,0,0,0,0,,,,,,,,
Gripper_Mechanism,0.107672157185758,0.0552542206534867,-0.134615918696408,0,0,0,0.0334262106539327,2.73148228084608E-05,-2.29652881714632E-06,4.52386831474428E-06,4.74842248553013E-05,3.15894232080281E-06,2.5718033026556E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Gripper_Mechanism.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Gripper_Mechanism.STL,,Gripper Assembly.step-2/gear1.step-1,Origin_Gripper_Mechanism,Axis_Gripper_Mechanism,Gripper_Mechanism,fixed,0,0,0,0,0,0,Wrist_Joint,0,0,0,,,,,,,,,,,,
