Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.22044604925031E-16,0.00500000000000023,-0.00499999999999767,0,0,0,0.201061929829747,0.000323374603809509,-3.09432309375888E-19,-3.47283508374262E-20,0.000643398175455189,1.06382106690128E-18,0.000323374603809509,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,,Base^Assembly-1,World_Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.000267555465881419,-0.0139305309579991,0.0321964237022623,0,0,0,0.256765494419994,0.000329283641030161,-7.23177242972353E-07,1.32193832728189E-06,0.00037997097567768,7.69676163119527E-05,0.000377544614662834,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link1.STL,,joint 1 - simplified.step-1,Frame_1,Axis1,Joint1,revolute,0,0.01,-0.005,-1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,0.064999977330941,1.40136944493108E-07,-0.010109497164507,0,0,0,0.13081346914469,3.19933477457962E-05,3.69281468821262E-11,-1.6396538122102E-11,0.000316470986061007,2.35582270110264E-10,0.000339337197206022,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link2.STL,,joint 2.step-1,Frame_2,Axis2,Joint2,revolute,0,-0.008,0.05,1.5708,0,0,Link1,0,0,-1,0,0,0,0,,,,,,,,
Link3,1.28247072108678E-05,0.0546040464942854,0.0303712683102664,0,0,0,0.17924252226062,0.000432319012873528,2.14127527478737E-07,7.91912023536117E-08,9.23438538859116E-05,7.53992440195518E-08,0.000431735729782239,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link3.STL,,Joint 3.step-1/eBom-FreeParts.step-1,Frame_3,Axis3,Joint3,revolute,0.13,0,0,0,0,0,Link2,0,0,-1,0,0,0,0,,,,,,,,
Gripper,0.005458620488907,0.00222956944552055,0.0427518184622961,0,0,0,0.0340947397477871,4.84174561974046E-05,-3.63687790421784E-07,-3.96686657470252E-06,3.14847609958565E-05,-1.47264733719088E-06,2.25922567275681E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Gripper.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Gripper.STL,,Gripper Assembly.step-2/gear1.step-1,Frame_4,Axis4,Joint4,revolute,0.0048102,0.13,0.0329,-1.5708,0,0,Link3,0,0,1,0,0,0,0,,,,,,,,
