Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.63876,0.82639,1.3202,0,0,0,0.20106,0.00032337,-3.0943E-19,-3.4728E-20,0.0006434,1.0638E-18,0.00032337,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/base_link.STL,,Part13^Assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.0089305,-0.050196,-0.00026756,0,0,0,0.25677,0.00037997,7.6968E-05,7.2318E-07,0.00037754,-1.3219E-06,0.00032928,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_1.STL,,joint 1 - simplified.step-1,Origin_Joint_1,Axis1,Joint_1,revolute,0.63876,-1.3252,0.81339,-1.5708,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
Link_2,0.065,0.010109,-1.4014E-07,0,0,0,0.13081,3.1993E-05,-1.6397E-11,3.6928E-11,0.00033934,2.3558E-10,0.00031647,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_2.STL,,joint 2.step-1,Origin_Joint_2,Axis2,Joint_2,revolute,0.003,-0.068,0.13,1.5708,1.5708,0,Link_1,0,0,0,0,0,0,0,,,,,,,,
Link_3,0.030371,-1.2826E-05,-0.054604,0,0,0,0.17924,0.00043174,-7.9191E-08,-7.5399E-08,0.00043232,2.1412E-07,9.2344E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_3.STL,,Joint 3.step-1/eBom-FreeParts.step-1,Origin_Joint_3,Axis3,Joint_3,revolute,0,0,0,0,0,-1.5708,Link_2,0,0,0,0,0,0,0,,,,,,,,
Link_4,-0.019729,-0.0050414,-0.013589,0,0,0,0.034095,2.7862E-05,-2.3423E-06,4.6109E-06,4.8417E-05,3.2221E-06,2.6215E-05,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Assembly.SLDASM/meshes/Link_4.STL,,Gripper Assembly.step-2/gear1.step-1,Origin_Link_4,Axis4,Link_4,revolute,0.0067669,-0.01531,-0.17117,0,0.53715,-3.1416,Link_3,0,0,0,0,0,0,0,,,,,,,,
